AreaCode,RegionName,Quarter,AveragePrice,12m%Change,DetachedPrice,Detached12m%Change,SemiDetachedPrice,SemiDetached12m%Change,TerracedPrice,Terraced12m%Change,FlatPrice,Flat12m%Change,Average_Income,Rate,CPI_Index,SalesVolume,Long_Term_Issued,Short_Term_Issued,Crime_Property,Crime_Violent,Crime_PublicOrder,Grant of Asylum
E09000003,Barnet,2019Q1,554697,-2.033333333,1383252.333,0.066666667,732578,-0.666666667,546011.3333,-1.333333333,374512,-3.1,36077.51667,0.75,106.7,842,112719,453599.01,5061,1410,1324,3853.98
E09000003,Barnet,2019Q2,540560,-4.366666667,1341581.667,-2.9,713140.3333,-3.9,536125.6667,-3.833333333,364427.6667,-5,36237.64,0.75,107.8,1059,193596.99,792681.99,5163,1416,1274,3580.02
E09000003,Barnet,2019Q3,556393.6667,-1.2,1376812.667,-1.333333333,736050.6667,-0.8,554090,-0.133333333,374158.6667,-1.666666667,36311.83,0.75,108.2666667,1017,321639.99,689672.01,4961,1511,1396,3656.01
E09000003,Barnet,2019Q4,560109.6667,-1.333333333,1401342.667,-1.133333333,746155.6667,-0.5,557883.3333,-0.333333333,374436,-2.2,36341.64,0.75,108.4333333,888,130221.99,477507.99,5065,1499,1283,3990
E09000003,Barnet,2020Q1,551982.6667,-0.466666667,1390991.667,0.566666667,738109.6667,0.766666667,551596.6667,1.033333333,367515.3333,-1.833333333,36371.44333,0.533333333,108.4666667,828,108819,364535.01,4765,1518,1226,4024.02
E09000003,Barnet,2020Q2,558706.6667,3.366666667,1432500.667,6.8,747491,4.8,559291.3333,4.333333333,370795.3333,1.733333333,36401.03,0.1,108.5333333,378,9206.01,6153.99,2903,1348,1504,1573.02
E09000003,Barnet,2020Q3,558378.6667,0.366666667,1421006,3.2,752767.3333,2.266666667,563577.3333,1.7,368917,-1.4,36295.35,0.1,108.9333333,864,188156.01,63846.99,4036,1451,1582,1110
E09000003,Barnet,2020Q4,561631.6667,0.266666667,1444304.333,3.066666667,764909.6667,2.5,573033.3333,2.7,367742,-1.766666667,36121.56,0.1,109.0666667,1171,154866.99,66060,4157,1396,1474,2266.02
E09000003,Barnet,2021Q1,572270.3333,3.666666667,1451800,4.366666667,772196.3333,4.633333333,581051.6667,5.333333333,377627,2.733333333,35948.40333,0.1,109.1666667,1486,132414,37779.99,3413,1271,1548,3291
E09000003,Barnet,2021Q2,576483.6667,3.2,1451014.333,1.3,770982.6667,3.133333333,583866.3333,4.4,382687.6667,3.233333333,35777.14,0.1,110.7333333,1859,155789.01,49665,3683,1594,1788,3336
E09000003,Barnet,2021Q3,598267.6667,7.166666667,1552681.333,9.266666667,805054,6.933333333,604275.3333,7.233333333,393267,6.6,36038.03667,0.1,111.9333333,969,397026.99,105240.99,3707,1545,1542,3003.99
E09000003,Barnet,2021Q4,610891,8.766666667,1616256.333,11.93333333,834412.3333,9.066666667,615801.3333,7.433333333,396434.6667,7.8,36517.47,0.15,114.4,888,212738.01,209291.01,3844,1545,1511,3322.02
E09000003,Barnet,2022Q1,617421.3333,7.866666667,1630676,12.3,846012.6667,9.533333333,624493,7.5,399388.6667,5.8,36995.15333,0.5,115.9333333,1072,231531.99,244452,3969,1437,1495,3880.98
E09000003,Barnet,2022Q2,627488,8.833333333,1656344,14.16666667,860619,11.63333333,636620,9.033333333,405134.3333,5.9,37467.61,1,120.8666667,1159,320414.01,366537,3898,1660,1456,3633
E09000003,Barnet,2022Q3,638356.6667,6.733333333,1682472,8.433333333,879713.6667,9.3,654121.3333,8.266666667,409130.6667,4.066666667,38328.08,1.75,123.1333333,1142,580814.01,433932.99,3944,1587,1432,4697.01
E09000003,Barnet,2022Q4,643299,5.266666667,1701062,5.3,888856.3333,6.533333333,660631,7.266666667,410859.3333,3.666666667,39380.11333,2.916666667,126.7,1113,294774.99,351239.01,4124,1519,1479,5063.01
E09000003,Barnet,2023Q1,636284,3.066666667,1680028.333,3.033333333,879005,3.866666667,648681,3.833333333,407999,2.133333333,40428.31667,3.916666667,127.7333333,710,297594.99,399660.99,4120,1530,1576,4217.01
E09000003,Barnet,2023Q2,617810,-1.533333333,1639532.667,-1,850356.3333,-1.2,626854.3333,-1.5,397512.3333,-1.866666667,41465.04667,4.583333333,131.0666667,646,295668,630632.01,3961,1686,1546,6334.02
E09000003,Barnet,2023Q3,623978,-2.233333333,1660415,-1.333333333,860571.3333,-2.166666667,639662,-2.2,398873.3333,-2.5,42323.83,5.166666667,131.4,758,573971.01,532428,4019,1725,1543,22484.01
E09000003,Barnet,2023Q4,617300.6667,-4.033333333,1628374.333,-4.266666667,851840.3333,-4.166666667,631265.3333,-4.433333333,395706,-3.666666667,43085.47,5.25,131.9666667,737,265236.99,392259.99,4296,1607,1648,28443
E09000003,Barnet,2024Q1,604590,-5,1583364.667,-5.766666667,832948.3333,-5.266666667,618324,-4.666666667,388603.3333,-4.766666667,43847.10333,5.25,132.2666667,716,229845.99,454544.01,4178,1474,1314,10417.02
E09000003,Barnet,2024Q2,615034.3333,-0.466666667,1608678.667,-1.866666667,842880,-0.866666667,627927.3333,0.166666667,397083.6667,-0.1,44603.2,5.25,133.8333333,809,204254.01,728825.01,4124,1472,1284,5466
E09000003,Barnet,2024Q3,628655.3333,0.733333333,1642598.333,-1.066666667,865473,0.566666667,648515.3333,1.366666667,402896.6667,1,45239.54,5.083333333,134.1,937,388326.99,555722.01,4055,1539,1417,8415.99
E09000003,Barnet,2024Q4,625943.3333,1.4,1649010,1.233333333,863630.6667,1.366666667,645272.6667,2.233333333,399923.6667,1.066666667,45812.89667,4.833333333,135.2333333,992,145505.01,420449.01,4149,1457,1495,16455
E09000003,Barnet,2025Q1,610279.3333,0.933333333,1600322,1.066666667,841877,1.066666667,632245.6667,2.233333333,389525,0.266666667,46384.17,4.583333333,135.9666667,1273,151643.01,452067.99,3846,1468,1447,16068
E09000003,Barnet,2025Q2,613893,-0.166666667,1639877,1.966666667,859346,1.933333333,637303.6667,1.5,386248,-2.733333333,46949.18667,4.333333333,138.5,566,185370,790707.99,3258,1530,1763,12370.02
E09000003,Barnet,2025Q3,617820,-1.733333333,1630283.333,-0.766666667,871158.6667,0.666666667,648134.6667,-0.033333333,386060,-4.2,47141,4.083333333,139.2,665,376097.01,568923.99,3623,1579,1662,13254.99
E09000003,Barnet,2025Q4,600888,-4.033333333,1575584.667,-4.466666667,844884.3333,-2.166666667,632526,-2,376155.3333,-5.933333333,47141,3.916666667,139.8,546,116405.01,429636,3696,1621,1575,13194
E08000025,Birmingham,2015Q2,141685.6667,4.666666667,267672.3333,5.166666667,158965,5,129152.3333,4.366666667,101013,4.466666667,25046.06,0.5,100.0666667,3057,124947,668316,12205,4450,2603,3248.01
E08000025,Birmingham,2015Q3,147009.6667,5.133333333,277298,5.5,165215.3333,5.5,134278.6667,4.733333333,104188,5,25206.5,0.5,100.1666667,3695,240512.01,539514.99,12020,4494,2699,3229.98
E08000025,Birmingham,2015Q4,149189.6667,5.733333333,283500.3333,6.433333333,167892,6.1,136170,5.533333333,105222.6667,5.1,25443.18,0.5,100.3,3704,95876.01,339126.99,12926,4637,2681,3192.99
E08000025,Birmingham,2016Q1,151002.3333,7.666666667,286568,8.1,170398.3333,8.4,137542,7.633333333,106562,6.166666667,25679.86,0.5,99.83333333,3960,89624.01,356235.99,12879,4732,2980,2772
E08000025,Birmingham,2016Q2,154283.3333,8.9,291018.6667,8.7,173756,9.3,140777.3333,9,109209.6667,8.1,25914.82,0.5,100.4,2802,147306.99,652428.99,12723,4972,3063,2474.01
E08000025,Birmingham,2016Q3,159353,8.4,300021.6667,8.2,179173,8.466666667,145518.3333,8.366666667,113023,8.5,26118.34,0.333333333,100.8666667,3510,245307,527103,14198,5209,3094,2117.01
E08000025,Birmingham,2016Q4,160177.6667,7.4,304526.3333,7.433333333,180518.3333,7.533333333,145325.3333,6.733333333,114068.3333,8.366666667,26305.19,0.25,101.5,3380,94007.01,366960,15677,5156,2844,2580.99
E08000025,Birmingham,2017Q1,162641.3333,7.7,309823,8.133333333,183061,7.433333333,147280.6667,7.066666667,116297.3333,9.133333333,26491.36,0.25,102,2994,96450.99,417771.99,15399,5067,2974,2469
E08000025,Birmingham,2017Q2,164202.3333,6.433333333,310397.6667,6.666666667,184563,6.233333333,148624,5.6,118126.3333,8.2,26675.49,0.25,103.1666667,2970,159168.99,725610,15660,5846,3498,2187
E08000025,Birmingham,2017Q3,171248.3333,7.466666667,321949,7.3,192475.3333,7.433333333,155346.6667,6.766666667,123055.3333,8.866666667,26924.34,0.25,103.7,3801,257796.99,563834.01,15671,5874,3466,2041.98
E08000025,Birmingham,2017Q4,172246.3333,7.533333333,326095,7.1,194191.6667,7.566666667,156257,7.5,122834.3333,7.7,27204.36333,0.416666667,104.5666667,3560,98865.99,388368,15643,6377,3547,1866
E08000025,Birmingham,2018Q1,172848.6667,6.266666667,327594,5.733333333,195351.3333,6.7,156909.6667,6.533333333,122601.3333,5.433333333,27483.37,0.5,104.7666667,3189,97074.99,416469,15647,6104,3782,2325.99
E08000025,Birmingham,2018Q2,174960.6667,6.566666667,331573.3333,6.8,198185.6667,7.366666667,159348.6667,7.233333333,122910.3333,4.033333333,27759.32,0.5,105.6666667,3021,172416.99,764279.01,15404,6745,4464,2382
E08000025,Birmingham,2018Q3,178993,4.5,340103.6667,5.666666667,202821,5.4,162985.6667,4.933333333,125548.3333,2.033333333,27794.17333,0.666666667,106.3,3542,284828.01,624605.01,15884,7112,4554,2611.98
E08000025,Birmingham,2018Q4,182478,5.933333333,348189,6.8,207137.3333,6.666666667,165964,6.233333333,127621,3.9,27705.77333,0.75,106.9333333,3882,108036,434286,17063,7407,4811,2776.98
E08000025,Birmingham,2019Q1,182373.6667,5.5,348876.6667,6.466666667,207325.6667,6.133333333,165577,5.5,127449,3.933333333,27617.69,0.75,106.7,3104,112719,453599.01,15806,7765,5311,3853.98
E08000025,Birmingham,2019Q2,181610,3.833333333,345833.6667,4.3,206649,4.266666667,165461.6667,3.8,126269,2.733333333,27530.57667,0.75,107.8,3032,193596.99,792681.99,14332,8148,5668,3580.02
E08000025,Birmingham,2019Q3,183117,2.333333333,347868,2.266666667,208022.3333,2.566666667,167336.3333,2.7,127134.3333,1.233333333,27807.66667,0.75,108.2666667,3231,321639.99,689672.01,13922,8540,6172,3656.01
E08000025,Birmingham,2019Q4,183134.3333,0.366666667,349164.3333,0.266666667,208885.6667,0.866666667,167497,0.933333333,126111,-1.166666667,28268.50333,0.75,108.4333333,3435,130221.99,477507.99,14161,8678,6172,3990
E08000025,Birmingham,2020Q1,182503.3333,0.066666667,349267,0.1,208939.6667,0.8,167054.3333,0.9,124727.6667,-2.133333333,28729.34333,0.533333333,108.4666667,2617,108819,364535.01,13617,9031,6321,4024.02
E08000025,Birmingham,2020Q2,182176,0.3,350188.6667,1.266666667,208790.6667,1.033333333,166920.3333,0.9,123945,-1.866666667,29186.82667,0.1,108.5333333,1672,9206.01,6153.99,9145,8276,7466,1573.02
E08000025,Birmingham,2020Q3,187630.3333,2.466666667,359948.6667,3.466666667,215488.6667,3.566666667,172397,3.033333333,126897,-0.2,29264.62333,0.1,108.9333333,2360,188156.01,63846.99,12010,10237,8714,1110
E08000025,Birmingham,2020Q4,189840.6667,3.666666667,366892.3333,5.066666667,218213.3333,4.466666667,175361,4.7,126881.3333,0.6,29149.85333,0.1,109.0666667,3145,154866.99,66060,12906,10819,10427,2266.02
E08000025,Birmingham,2021Q1,198957.6667,9,376745.3333,7.866666667,227552.3333,8.933333333,184138,10.26666667,134659,7.966666667,29035.5,0.1,109.1666667,3713,132414,37779.99,11565,10683,11978,3291
E08000025,Birmingham,2021Q2,204712,12.36666667,383377.3333,9.466666667,232867.3333,11.56666667,189772.3333,13.7,139910.6667,12.9,28922.39667,0.1,110.7333333,3865,155789.01,49665,12366,12039,12024,3336
E08000025,Birmingham,2021Q3,207145,10.43333333,391661.3333,8.8,236530.3333,9.766666667,192004.3333,11.4,140192,10.46666667,29210.06,0.1,111.9333333,3443,397026.99,105240.99,13000,12778,12530,3003.99
E08000025,Birmingham,2021Q4,206509.3333,8.8,397254,8.266666667,237723,8.966666667,191276,9.1,137103.3333,8.033333333,29700.03667,0.15,114.4,2708,212738.01,209291.01,14727,12816,12125,3322.02
E08000025,Birmingham,2022Q1,214944.6667,8.066666667,413043,9.633333333,248191.3333,9.066666667,199453.6667,8.333333333,141806,5.333333333,30188.23,0.5,115.9333333,3106,231531.99,244452,14753,11954,11381,3880.98
E08000025,Birmingham,2022Q2,221153.3333,8.066666667,423608,10.5,255537.3333,9.733333333,205779.3333,8.433333333,145245,3.833333333,30671.08,1,120.8666667,2828,320414.01,366537,15101,12816,12170,3633
E08000025,Birmingham,2022Q3,226999.3333,9.6,432334.3333,10.4,262439.3333,10.96666667,212418.3333,10.63333333,147574.3333,5.3,31086.35333,1.75,123.1333333,3160,580814.01,433932.99,16236,12842,12036,4697.01
E08000025,Birmingham,2022Q4,232751.6667,12.7,445235,12.06666667,269208,13.23333333,217768.3333,13.86666667,150703.3333,9.9,31464.07,2.916666667,126.7,3111,294774.99,351239.01,15822,12171,10461,5063.01
E08000025,Birmingham,2023Q1,230561,7.3,442948,7.266666667,267253,7.733333333,214583,7.633333333,149785.3333,5.666666667,31840.41333,3.916666667,127.7333333,2260,297594.99,399660.99,15757,11512,10578,4217.01
E08000025,Birmingham,2023Q2,222676.6667,0.7,429585.6667,1.4,258238.3333,1.066666667,206340.6667,0.266666667,145327,0.066666667,32212.63667,4.583333333,131.0666667,2033,295668,630632.01,15151,12199,9887,6334.02
E08000025,Birmingham,2023Q3,226241,-0.333333333,433404.3333,0.233333333,262154,-0.1,210970.3333,-0.666666667,146593.3333,-0.666666667,32608.33333,5.166666667,131.4,2125,573971.01,532428,14905,11896,8665,22484.01
E08000025,Birmingham,2023Q4,225518.3333,-3.1,430991.3333,-3.2,261227.3333,-2.966666667,210266.3333,-3.466666667,146420.3333,-2.8,33013.07,5.25,131.9666667,2211,265236.99,392259.99,15375,11600,8264,28443
E08000025,Birmingham,2024Q1,221847,-3.766666667,423243,-4.433333333,256990.6667,-3.833333333,206722,-3.633333333,144309,-3.633333333,33417.80333,5.25,132.2666667,1962,229845.99,454544.01,14434,10652,8147,10417.02
E08000025,Birmingham,2024Q2,223437,0.333333333,423146.3333,-1.466666667,258208.6667,0,208341,0.966666667,146305,0.7,33819.6,5.25,133.8333333,2146,204254.01,728825.01,14950,11909,8455,5466
E08000025,Birmingham,2024Q3,228513.3333,1.033333333,432294.3333,-0.266666667,264123.3333,0.733333333,214308.6667,1.566666667,148081,1.033333333,34294.93,5.083333333,134.1,2559,388326.99,555722.01,15611,11580,8429,8415.99
E08000025,Birmingham,2024Q4,233326.3333,3.466666667,444619,3.166666667,270088.6667,3.433333333,218579,3.933333333,150572.3333,2.833333333,34805.75333,4.833333333,135.2333333,2782,145505.01,420449.01,14281,11129,7667,16455
E08000025,Birmingham,2025Q1,231361.3333,4.3,439371.6667,3.833333333,268357.6667,4.466666667,217167.3333,5.066666667,148570,2.966666667,35314.71667,4.583333333,135.9666667,3062,151643.01,452067.99,13328,10885,8037,16068
E08000025,Birmingham,2025Q2,230367.3333,3.133333333,439575,3.866666667,268160,3.866666667,216180.6667,3.8,146687,0.266666667,35818.10667,4.333333333,138.5,1620,185370,790707.99,13911,11688,8679,12370.02
E08000025,Birmingham,2025Q3,229661.3333,0.5,436408.3333,0.966666667,268286.6667,1.6,216586,1.066666667,144177.3333,-2.633333333,35989,4.083333333,139.2,1956,376097.01,568923.99,14581,11674,8902,13254.99
E08000025,Birmingham,2025Q4,233005.6667,-0.133333333,439061.6667,-1.266666667,272732.3333,1,220156.6667,0.733333333,145886.3333,-3.133333333,35989,3.916666667,139.8,1740,116405.01,429636,14039,11064,8233,13194
E08000001,Bolton,2015Q2,111093.3333,4.1,208723,4.8,119235.3333,4.366666667,89921.33333,3.6,72958.33333,3.833333333,23700.83,0.5,100.0666667,886,124947,668316,3322,1384,841,3248.01
E08000001,Bolton,2015Q3,112984.3333,4.2,211955.6667,4.9,121361,4.633333333,91575,3.566666667,73668.33333,4,23955,0.5,100.1666667,1025,240512.01,539514.99,3463,1332,1022,3229.98
E08000001,Bolton,2015Q4,113729,3.966666667,214936.3333,4.933333333,122173,4.266666667,91923.66667,3.333333333,73865.66667,3.166666667,24213.47,0.5,100.3,1054,95876.01,339126.99,3593,1292,898,3192.99
E08000001,Bolton,2016Q1,113200,3.5,213526.3333,4.133333333,121808.6667,3.933333333,91466.33333,3.233333333,73483,2.066666667,24471.94,0.5,99.83333333,1110,89624.01,356235.99,3345,1221,847,2772
E08000001,Bolton,2016Q2,115881.3333,4.3,217290.6667,4.133333333,124461,4.4,93941.33333,4.466666667,75604.33333,3.633333333,24728.53,0.5,100.4,899,147306.99,652428.99,3353,1414,962,2474.01
E08000001,Bolton,2016Q3,117309.3333,3.8,219775.6667,3.7,125876.3333,3.733333333,95194.33333,3.966666667,76581,3.933333333,24739.62667,0.333333333,100.8666667,1104,245307,527103,3534,1369,1019,2117.01
E08000001,Bolton,2016Q4,117646.6667,3.433333333,222645.3333,3.6,126590,3.6,94732.66667,3.033333333,77220.33333,4.533333333,24626.36,0.25,101.5,1025,94007.01,366960,3797,1699,1340,2580.99
E08000001,Bolton,2017Q1,120043,6.066666667,227739.6667,6.666666667,129095.3333,6,96468.33333,5.466666667,79411,8.066666667,24513.51,0.25,102,921,96450.99,417771.99,4102,1626,1475,2469
E08000001,Bolton,2017Q2,121315.6667,4.7,228830,5.333333333,130501,4.9,97573,3.866666667,81025,7.166666667,24401.89,0.25,103.1666667,1010,159168.99,725610,4253,2095,2072,2187
E08000001,Bolton,2017Q3,123686.3333,5.466666667,232206.6667,5.666666667,133065.3333,5.733333333,99687.66667,4.733333333,82611.66667,7.9,24471.46,0.25,103.7,1135,257796.99,563834.01,4613,2439,2867,2041.98
E08000001,Bolton,2017Q4,126590.3333,7.6,238800.6667,7.3,136415.3333,7.766666667,101826.3333,7.5,83790,8.5,24632.94333,0.416666667,104.5666667,1112,98865.99,388368,4199,2165,2564,1866
E08000001,Bolton,2018Q1,125428,4.466666667,236800.3333,3.966666667,135536.3333,5,100732.6667,4.433333333,82624.33333,4.033333333,24793.84,0.5,104.7666667,879,97074.99,416469,4370,2060,2187,2325.99
E08000001,Bolton,2018Q2,126121.3333,3.966666667,237507.6667,3.766666667,136222.6667,4.366666667,101658.6667,4.2,82194.33333,1.433333333,24952.97667,0.5,105.6666667,963,172416.99,764279.01,4531,2397,2690,2382
E08000001,Bolton,2018Q3,129500.6667,4.733333333,244641.6667,5.4,139956.3333,5.2,104227.3333,4.566666667,84139.33333,1.866666667,25265.54,0.666666667,106.3,1067,284828.01,624605.01,4266,2139,2457,2611.98
E08000001,Bolton,2018Q4,128963.3333,1.9,244542.3333,2.433333333,139465.6667,2.233333333,103612,1.766666667,83510.33333,-0.333333333,25654.05667,0.75,106.9333333,1081,108036,434286,4070,2088,2175,2776.98
E08000001,Bolton,2019Q1,130363,3.933333333,247686,4.6,141322.6667,4.266666667,104462.6667,3.7,84244.66667,1.933333333,26041.16,0.75,106.7,878,112719,453599.01,3934,2123,2386,3853.98
E08000001,Bolton,2019Q2,129864.3333,2.966666667,245442.6667,3.366666667,140941.3333,3.433333333,104342,2.633333333,83368.33333,1.433333333,26424.02333,0.75,107.8,928,193596.99,792681.99,4004,2307,2435,3580.02
E08000001,Bolton,2019Q3,133250.6667,2.9,251262.6667,2.7,144320.3333,3.133333333,107367,3,85514.66667,1.633333333,26639.33333,0.75,108.2666667,1080,321639.99,689672.01,2574,1192,1091,3656.01
E08000001,Bolton,2019Q4,134928.6667,4.6,254933,4.233333333,146521.6667,5.066666667,108471,4.7,86176,3.2,26767.56667,0.75,108.4333333,1041,130221.99,477507.99,3918,1776,1648,3990
E08000001,Bolton,2020Q1,135091.6667,3.633333333,255890.6667,3.3,146902.6667,3.933333333,108466,3.833333333,85745.33333,1.8,26895.8,0.533333333,108.4666667,860,108819,364535.01,3937,1968,1731,4024.02
E08000001,Bolton,2020Q2,135559,4.433333333,257435,4.9,147512.3333,4.7,108837.6667,4.333333333,85192,2.2,27023.1,0.1,108.5333333,503,9206.01,6153.99,2688,1837,2010,1573.02
E08000001,Bolton,2020Q3,137485.3333,3.2,260931.6667,3.833333333,149811.3333,3.833333333,110286.6667,2.733333333,86391.66667,1.033333333,27058.31333,0.1,108.9333333,906,188156.01,63846.99,3254,2197,2223,1110
E08000001,Bolton,2020Q4,144483.3333,7.066666667,275815.6667,8.2,156909,7.1,116109.6667,7.033333333,89934.66667,4.333333333,27046.76,0.1,109.0666667,1193,154866.99,66060,2719,1755,2187,2266.02
E08000001,Bolton,2021Q1,148488.6667,9.933333333,279051.3333,9.066666667,160752,9.4,120131,10.73333333,94276.66667,9.966666667,27035.24667,0.1,109.1666667,1252,132414,37779.99,2700,2067,2942,3291
E08000001,Bolton,2021Q2,154766,14.13333333,288326,12,166861.3333,13.1,125946,15.73333333,99131.33333,16.36666667,27023.86667,0.1,110.7333333,1197,155789.01,49665,3175,2676,3271,3336
E08000001,Bolton,2021Q3,160639.6667,16.83333333,299744,14.86666667,173149,15.56666667,130874.6667,18.7,101855,17.86666667,27205.00667,0.1,111.9333333,1247,397026.99,105240.99,3547,2587,3266,3003.99
E08000001,Bolton,2021Q4,164110.3333,13.56666667,310054.3333,12.4,177239.6667,12.96666667,132985,14.56666667,102830.3333,14.36666667,27483.02,0.15,114.4,986,212738.01,209291.01,3424,2531,3095,3322.02
E08000001,Bolton,2022Q1,165699.6667,11.56666667,312365.6667,11.93333333,179283.3333,11.53333333,134310.3333,11.83333333,103258,9.533333333,27760.02333,0.5,115.9333333,934,231531.99,244452,3257,2437,2978,3880.98
E08000001,Bolton,2022Q2,170968.6667,10.46666667,321446.6667,11.5,185094.3333,10.93333333,138806,10.23333333,106133.6667,7.066666667,28033.99,1,120.8666667,896,320414.01,366537,3493,2673,3582,3633
E08000001,Bolton,2022Q3,179599.3333,11.8,335794.6667,12.03333333,194519.3333,12.33333333,146464,11.9,110387.6667,8.333333333,28781.45333,1.75,123.1333333,1156,580814.01,433932.99,3101,2524,3591,4697.01
E08000001,Bolton,2022Q4,185468.3333,13,347743,12.13333333,200744.6667,13.23333333,151251.3333,13.73333333,113432,10.3,29764.92333,2.916666667,126.7,1108,294774.99,351239.01,3076,2349,3210,5063.01
E08000001,Bolton,2023Q1,180035,8.7,339474.3333,8.666666667,195461.6667,9.066666667,146009,8.733333333,110175.6667,6.733333333,30744.82,3.916666667,127.7333333,712,297594.99,399660.99,3087,2247,3271,4217.01
E08000001,Bolton,2023Q2,177986,4.133333333,337503.3333,5,193633.6667,4.6,143677.6667,3.533333333,109003.6667,2.7,31713.98667,4.583333333,131.0666667,598,295668,630632.01,2991,2488,3460,6334.02
E08000001,Bolton,2023Q3,181322,0.966666667,341211,1.633333333,197011.6667,1.266666667,147203.6667,0.5,110228.3333,-0.1,32285.5,5.166666667,131.4,819,573971.01,532428,3145,2333,3045,22484.01
E08000001,Bolton,2023Q4,183674.3333,-0.966666667,344782.6667,-0.866666667,199418,-0.633333333,149305.6667,-1.3,111802.6667,-1.433333333,32649.91333,5.25,131.9666667,789,265236.99,392259.99,3073,2356,2631,28443
E08000001,Bolton,2024Q1,185031.3333,2.8,346989.6667,2.233333333,200937.6667,2.8,150363.6667,3,112924,2.5,33014.32667,5.25,132.2666667,667,229845.99,454544.01,2715,2365,2742,10417.02
E08000001,Bolton,2024Q2,185625.6667,4.3,345677.6667,2.433333333,201318,3.966666667,151173.6667,5.2,114202,4.766666667,33376.08667,5.25,133.8333333,722,204254.01,728825.01,2905,2558,2928,5466
E08000001,Bolton,2024Q3,190586.6667,5.133333333,354054.3333,3.766666667,206620,4.9,155895,5.9,115794,5.066666667,33612.98,5.083333333,134.1,895,388326.99,555722.01,2891,2446,2891,8415.99
E08000001,Bolton,2024Q4,192666.6667,4.9,360084,4.433333333,209010.6667,4.8,157396.3333,5.433333333,116166.6667,3.933333333,33785.76333,4.833333333,135.2333333,1003,145505.01,420449.01,2538,2268,2666,16455
