annual survey of hours and earnings - resident analysis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
ecounty:Worcestershire,142000,4.4,142000,4.2,140000,4.4,145000,4.6,153000,4.2,145000,5.2,138000,6.6,130000,5.2,146000,4.8,141000,4.5,137000,4.4,143000,4.4,138000,4,147000,6,150000,5.2,140000,4.5,148000,4.6,147000,4.4,148000,5.1,172000,4.1,162000,5.5,165000,7.4,163000,4.5,176000,4.2
ecounty:Bedfordshire,103000,5.1,109000,4.8,103000,4.9,104000,5.2,106000,5,109000,5.3,106000,5.8,95000,6.2,114000,4.7,111000,4.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ecounty:Cambridgeshire,149000,4.2,153000,4.1,152000,4.5,153000,5,157000,4.1,168000,4.5,166000,5.6,158000,4.7,175000,4.1,173000,3.9,170000,5,182000,3.9,183000,4.6,187000,4.6,189000,4.2,188000,3.7,185000,3.8,196000,4.1,209000,4.8,198000,3.9,205000,4.9,209000,4.7,206000,3.9,233000,3.6
ecounty:Essex,290000,3,303000,2.9,311000,3.5,309000,3.4,306000,2.9,328000,3.1,328000,3.6,305000,3.2,343000,2.5,332000,2.5,322000,2.9,350000,2.7,329000,2.8,355000,3.7,346000,2.7,337000,2.8,344000,3.1,338000,3.5,344000,3.9,365000,3.2,337000,4.3,330000,3.2,384000,2.9,391000,2.7
ecounty:Hertfordshire,256000,3.3,277000,3,276000,3.3,261000,3.3,280000,3.1,283000,3.5,284000,3.6,257000,3.6,292000,3,299000,2.7,301000,3.4,312000,2.8,316000,3.2,326000,3.1,309000,3.2,308000,2.8,322000,4.1,310000,3.4,289000,4.1,339000,3.2,304000,3.8,307000,5.5,317000,3.3,335000,3
ecounty:Norfolk,172000,3.9,171000,3.8,165000,7,175000,6.3,185000,3.8,188000,4.2,181000,4.5,169000,4.3,191000,3.4,188000,3.9,181000,4,180000,4.1,189000,4,202000,3.6,187000,3.5,189000,5.1,188000,5.9,197000,4.8,196000,4.5,231000,3.5,202000,4.1,222000,4.2,229000,3.7,246000,3.5
ecounty:Suffolk,158000,4.1,160000,4,163000,4.1,164000,7,164000,3.7,181000,4.3,172000,6.7,161000,4,183000,3.8,168000,3.7,170000,4.4,173000,3.6,174000,4.1,187000,4,189000,4.3,189000,4,178000,3.9,183000,4.4,187000,5,199000,4.1,200000,4.1,204000,4.4,207000,4.3,217000,3.6
ecounty:Inner London,-,-,-,-,581000,2.5,590000,2.9,635000,2.2,656000,2.4,661000,2.5,613000,2.4,708000,1.8,697000,1.8,716000,1.9,761000,1.9,774000,2.2,764000,2.3,782000,2.5,831000,2,821000,2.1,844000,2.1,808000,2.7,872000,2.1,773000,2.9,796000,2.7,879000,2,917000,1.8
ecounty:Outer London,-,-,-,-,1016000,1.7,1007000,1.9,1048000,1.5,1083000,1.6,1094000,1.8,995000,1.7,1164000,1.3,1131000,1.3,1117000,1.6,1207000,1.4,1186000,1.6,1191000,1.8,1209000,1.7,1192000,1.6,1204000,1.7,1221000,1.7,1194000,1.9,1293000,1.8,1168000,1.9,1166000,1.9,1272000,1.6,1373000,1.4
ecounty:Buckinghamshire,113000,5,118000,4.7,120000,5.1,125000,5.5,125000,4.8,119000,4.9,123000,5.9,113000,5,126000,5,127000,4.7,127000,5.8,128000,5.1,125000,4.4,133000,6,131000,6.2,131000,6.4,143000,4.7,138000,4.7,150000,5.8,149000,4.9,123000,5.7,141000,8.6,148000,4.7,149000,4.6
ecounty:East Sussex,88000,5.6,96000,5.1,93000,6.8,99000,6.7,106000,5.8,106000,5.3,113000,5.9,100000,5.4,107000,4.5,99000,5,99000,4.7,101000,4.5,102000,4.7,110000,5.1,112000,4.8,108000,8,105000,5.5,109000,4.9,118000,5.7,134000,7.1,123000,5.7,114000,5.6,123000,5.5,122000,5
ecounty:Hampshire,300000,3,307000,2.8,309000,3,312000,3,342000,3,336000,3.2,348000,3.1,324000,3.1,359000,2.4,359000,2.5,347000,3.1,353000,2.6,361000,3,365000,3.1,365000,2.7,379000,2.8,368000,3,366000,3.5,420000,3.4,451000,3,408000,3.1,415000,3.4,432000,2.8,438000,2.6
ecounty:Kent,308000,2.9,317000,2.8,314000,3,315000,3.1,317000,2.9,339000,3.4,345000,3.4,315000,3,345000,2.7,331000,2.8,324000,2.7,348000,2.8,352000,3.2,357000,3.7,375000,3.1,369000,3.2,380000,2.8,372000,3.5,384000,3.7,420000,3.3,401000,3.6,389000,3.9,398000,3,408000,2.7
ecounty:Oxfordshire,138000,4.4,145000,4.2,156000,4.7,159000,4.7,152000,4.3,155000,5.4,165000,4.9,155000,4.2,169000,3.5,172000,3.6,171000,4.3,176000,4.3,177000,5.2,180000,5,193000,3.7,189000,5.3,181000,4,190000,5.7,203000,5.1,234000,4,211000,5.5,214000,5.5,227000,4.3,224000,3.6
ecounty:Surrey,268000,3.1,280000,3,275000,3.8,271000,4.2,287000,3.2,289000,3.3,288000,4,259000,3.6,299000,2.9,291000,3,288000,3,296000,2.7,299000,2.9,298000,3,309000,3.9,309000,3.1,300000,3.3,306000,4.2,310000,3.7,341000,3.7,321000,4.6,308000,4.3,334000,3.5,348000,2.9
ecounty:West Sussex,171000,4,176000,3.8,183000,5.1,179000,6.6,200000,3.7,198000,4.4,191000,5.4,173000,4.6,184000,3.9,191000,3.4,194000,3.8,200000,4,197000,4.9,210000,4.6,209000,3.8,229000,5,214000,4,211000,4.3,215000,4.2,237000,5.3,224000,6,212000,4.1,236000,3.7,237000,3.5
ecounty:Cornwall and Isles of Scilly,70000,6.2,78000,5.7,89000,5.2,93000,6,99000,5.7,106000,5.4,99000,5.8,92000,5.3,102000,4.5,102000,5.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ecounty:Devon,133000,4.5,136000,4.3,136000,4.8,144000,4.5,149000,4.3,158000,4.7,148000,4.4,139000,4.3,151000,3.7,150000,4.1,151000,4.4,151000,3.7,161000,5.7,161000,4.1,160000,4.7,157000,4.8,154000,4.6,165000,5,167000,4.6,180000,4.3,175000,6.2,180000,9.6,175000,4.1,182000,4
ecounty:Dorset,76000,6,84000,5.5,83000,5.8,81000,6.1,85000,5.3,91000,5.9,87000,7.8,79000,5.7,88000,6.3,86000,5.4,91000,6.6,90000,5.3,90000,5.7,92000,5,90000,6.5,91000,6.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ecounty:Gloucestershire,135000,4.5,138000,4.3,133000,4.7,140000,4.8,143000,4.5,148000,4.6,143000,5.3,135000,4.8,147000,4,138000,3.8,145000,4,152000,4.2,151000,4.1,159000,4.8,160000,5.2,158000,5,164000,6.4,161000,4.6,145000,5.5,169000,5.2,155000,4.8,164000,4.5,164000,4.3,171000,4.1
ecounty:Somerset,102000,5.1,114000,4.7,116000,4.7,119000,5.1,124000,4.6,131000,5.2,130000,5.1,120000,4.8,134000,4.6,130000,5.5,134000,4.2,130000,4.3,132000,5.9,135000,4.7,134000,4.9,127000,5.1,117000,4.5,126000,5.5,132000,4.9,148000,4.8,134000,5.1,-,-,-,-,-,-
ecounty:Wiltshire,96000,5.3,109000,4.8,111000,4.9,111000,5.5,110000,5.3,119000,6.2,113000,5.5,111000,6.2,120000,4.2,114000,4.4,113000,5,117000,4.6,112000,4.5,111000,5.8,117000,5.1,122000,5.9,123000,4.8,115000,7.6,123000,5.5,139000,5.4,129000,5.2,143000,4.7,131000,5.5,138000,4.6
lacu2023:Hartlepool,-,-,-,-,-,-,-,-,-,-,-,-,20000,12.2,21000,10.9,23000,13.7,22000,12.1,22000,9.6,18000,12.8,21000,9.8,21000,10.3,23000,10.2,25000,9.6,25000,9.5,25000,9.9,19000,12.7,#,#,19000,12.9,22000,11.8,20000,11.9,20000,11.7
lacu2023:Middlesbrough,-,-,-,-,-,-,-,-,-,-,-,-,26000,10.5,28000,10.7,30000,9,27000,8.6,28000,10.2,30000,8.4,27000,10.9,31000,11.1,29000,8.9,29000,10.2,29000,10.4,30000,15.2,28000,12.9,29000,13.5,#,#,28000,10.2,27000,10.3,27000,10
lacu2023:Redcar and Cleveland,-,-,-,-,-,-,-,-,-,-,-,-,25000,14.2,25000,15.3,28000,8.5,28000,9.4,26000,10.1,27000,13.5,30000,10.9,29000,10.6,26000,9.2,28000,9,26000,9.4,28000,12.1,25000,10.9,31000,9.5,25000,11.4,24000,11,28000,9.9,30000,9.3
lacu2023:Stockton-on-Tees,-,-,-,-,-,-,-,-,-,-,-,-,48000,7.7,46000,8.9,49000,7,47000,7.9,47000,6.6,46000,7.1,48000,7.8,48000,9.1,46000,7.1,48000,7.6,51000,6.8,52000,6.9,45000,8.4,45000,10.5,44000,16,49000,8,46000,8.5,48000,7.7
lacu2023:Darlington,-,-,-,-,-,-,-,-,-,-,-,-,24000,14.7,23000,13.7,26000,9.3,26000,8.8,22000,12.6,25000,11.3,26000,9.1,27000,11.7,27000,9.5,28000,10.8,29000,10.8,28000,9.5,28000,10.5,27000,16,#,#,27000,10.5,26000,13.6,30000,9.6
lacu2023:County Durham,-,-,-,-,-,-,-,-,-,-,-,-,111000,5.5,103000,5,122000,5.1,123000,4.2,119000,5,122000,4.5,127000,5.2,134000,4,126000,4.9,131000,5,134000,7,131000,4.3,117000,5.5,136000,4.6,128000,5.1,129000,5.3,130000,5.6,133000,4.8
lacu2023:Northumberland,-,-,-,-,-,-,-,-,-,-,-,-,78000,6.9,69000,7.2,77000,6.1,74000,5.6,73000,6.5,72000,6.2,72000,5.3,75000,7.6,70000,9.7,73000,7.8,72000,5.8,67000,11.8,66000,6.9,69000,10.9,73000,6.8,77000,6.4,71000,6.8,74000,6.2
lacu2023:Newcastle upon Tyne,-,-,-,-,-,-,-,-,-,-,-,-,58000,8.1,56000,6.8,60000,7.8,56000,6.7,57000,10.8,61000,6.2,59000,6.5,59000,9.4,55000,7.8,56000,9.8,55000,7.9,60000,9.4,50000,8.1,63000,8.2,60000,7.6,63000,10.2,64000,6.8,61000,6.9
lacu2023:North Tyneside,-,-,-,-,-,-,-,-,-,-,-,-,55000,11,50000,7.1,50000,7.1,51000,6.3,52000,6.6,48000,8.9,51000,11.3,50000,6.7,48000,8,52000,8.8,52000,6.8,49000,7.2,52000,7.8,53000,7.6,54000,7.8,60000,7.3,56000,8.1,60000,7
lacu2023:South Tyneside,-,-,-,-,-,-,-,-,-,-,-,-,#,#,28000,9.6,29000,11.4,31000,14,34000,9.4,34000,7.7,37000,7.4,36000,7.9,34000,9.5,35000,11,31000,8.7,32000,8.6,33000,9.5,30000,9.6,39000,9,37000,8.7,35000,8.8,34000,8.8
lacu2023:Sunderland,-,-,-,-,-,-,-,-,-,-,-,-,69000,6.4,61000,6.8,71000,6.6,72000,5.2,74000,5.2,70000,6,71000,6.5,74000,8,67000,6.3,69000,6.6,70000,5.7,70000,5.8,67000,6.7,69000,6.3,71000,6.8,76000,6.2,67000,6.4,65000,6.6
lacu2023:Gateshead,-,-,-,-,-,-,-,-,-,-,-,-,53000,7.3,49000,8.5,51000,7.6,50000,6.4,52000,7.3,55000,9.1,53000,8.2,56000,12,56000,6.5,54000,6.6,53000,6.7,55000,6.7,46000,8.3,47000,7.8,51000,14.4,51000,7.8,45000,8,46000,7.9
lacu2023:Halton,-,-,-,-,-,-,-,-,-,-,-,-,32000,10.2,29000,9.4,30000,8,34000,7.7,32000,9.8,34000,8,31000,9.8,34000,10.8,34000,12.2,34000,8.2,32000,8.5,33000,16.6,31000,10,36000,8.6,31000,10.3,33000,9.4,33000,9.2,37000,8.6
lacu2023:Warrington,-,-,-,-,-,-,-,-,-,-,-,-,52000,7.5,50000,7.2,56000,8.1,55000,8.5,55000,7,57000,6.2,56000,6.1,59000,8.7,63000,8.1,58000,6.4,54000,8.4,62000,6.4,55000,7.6,67000,6.7,60000,7.7,65000,6.9,61000,6.9,61000,6.7
lacu2023:Blackburn with Darwen,-,-,-,-,-,-,-,-,-,-,-,-,#,#,24000,10.2,27000,8.5,25000,10.2,25000,9,24000,9.8,27000,8.7,28000,8.7,30000,8.7,28000,9.1,30000,12.2,30000,8.9,30000,12.9,29000,9.9,30000,10.6,33000,9.8,35000,11.5,36000,9
lacu2023:Blackpool,-,-,-,-,-,-,-,-,-,-,-,-,#,#,#,#,28000,8.3,26000,10.7,29000,9.9,25000,8.6,24000,10.9,27000,8.8,29000,8.8,28000,13,30000,8.8,29000,15.9,27000,10.3,35000,8.9,30000,17,34000,9.4,30000,9.9,30000,9.4
lacu2023:Cheshire East,-,-,-,-,-,-,-,-,-,-,-,-,93000,8.8,90000,6.2,100000,5.3,96000,4.6,90000,5.3,98000,5,90000,6.3,95000,5,93000,5,96000,6.3,95000,5.5,101000,5,101000,6,104000,5.9,99000,5.9,103000,5.6,104000,5.4,117000,4.9
lacu2023:Cheshire West and Chester,-,-,-,-,-,-,-,-,-,-,-,-,83000,6.8,70000,7.4,82000,4.9,81000,5.5,80000,5.6,79000,5.4,77000,5.5,87000,6.9,87000,6,85000,5.3,90000,10.9,95000,6.4,99000,6.9,103000,5.5,82000,8.2,91000,8.9,97000,6.2,105000,6.1
lacu2023:Cumberland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72000,6.8,79000,6.2,79000,6.8,86000,5.7
lacu2023:Westmorland and Furness,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53000,10.2,65000,7,56000,7.3,66000,7.6
lacu2023:Bolton,-,-,-,-,-,-,-,-,-,-,-,-,62000,7.5,59000,7.2,65000,5.8,60000,6.4,62000,5.7,65000,6,62000,10.2,61000,7.3,58000,6.3,61000,6.5,57000,12,57000,6.5,57000,7.4,61000,6.8,59000,10.6,56000,13.4,63000,6.8,68000,6.3
lacu2023:Bury,-,-,-,-,-,-,-,-,-,-,-,-,46000,9,45000,9,48000,7.7,52000,6.3,47000,7.1,49000,7,48000,12.7,54000,6.5,49000,6.9,50000,7.7,49000,7.1,50000,7,44000,8.5,45000,8.2,46000,8.7,48000,8.1,46000,8,47000,7.7
lacu2023:Manchester,-,-,-,-,-,-,-,-,-,-,-,-,81000,7.1,86000,6.1,92000,4.6,93000,5.4,91000,5.5,95000,5.1,98000,5.1,102000,8.3,99000,7.2,104000,5.2,100000,4.9,108000,6.7,96000,5.7,102000,5.4,105000,7.9,124000,5.5,131000,4.7,133000,4.8
lacu2023:Oldham,-,-,-,-,-,-,-,-,-,-,-,-,48000,10,44000,7.5,53000,6.4,50000,6.2,51000,8.3,47000,10.3,49000,8.4,50000,6.5,48000,8,46000,7.8,52000,7.4,55000,6.6,49000,7.8,55000,8,55000,7.7,55000,7.4,57000,7.1,56000,7.1
lacu2023:Rochdale,-,-,-,-,-,-,-,-,-,-,-,-,43000,8.6,42000,10.2,47000,7.4,45000,7.6,47000,6.5,46000,7.2,48000,6.5,47000,6.9,47000,6.9,46000,7.1,48000,12.1,48000,7.1,45000,8.2,47000,7.8,50000,13.1,47000,8,51000,7.5,54000,7.2
